NUCCORE_ACC	NUCCORE_CreateDate	NUCCORE_GC	BIOSAMPLE_Host	BIOSAMPLE_Host_processed	BIOSAMPLE_IsolationSource	NUCCORE_Length	BIOSAMPLE_Location	BIOSAMPLE_SampleType	NUCCORE_Topology	loc_lat	loc_lng	loc_parsed	plasmidfinder	pmlst	TAXONOMY_class	TAXONOMY_family	TAXONOMY_genus	TAXONOMY_taxon_name	TAXONOMY_order	TAXONOMY_phylum	TAXONOMY_species	TAXONOMY_strain	TAXONOMY_superkingdom	D1	D2
OY754399.1	2023-10-27	0.5148868982406393				155170	France		circular	46.603353999999996	1.8883334999999999	France	IncFIB(AP001918)_1, AP001918, |IncQ1_1, M28829, |IncFII_1, AY458016, 	IncF RST(F2:A-:B-):FIA(-);FIB(58?);FIC(-);FII(2);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)		Bacteria (2)	-8.634859	2.5837417
OY754393.1	2023-10-27	0.4929673486945159				123211	France		circular	46.603353999999996	1.8883334999999999	France	IncFIB(AP001918)_1, AP001918, |IncFII_1, AY458016, 	IncF RST(F24:A-:B-):FIA(-);FIB(58?);FIC(-);FII(24);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)		Bacteria (2)	-8.086446	2.8194835
OY754385.1	2023-10-27	0.5270072239422084				96900	France		circular	46.603353999999996	1.8883334999999999	France	IncFII_1, AY458016, 	IncF RST(F34:A-:B-):FIA(-);FIB(-);FIC(-);FII(34);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)		Bacteria (2)	-6.9535584	3.4667586999999997
OY754379.1	2023-10-27	0.5071369780737204				134861	France		circular	46.603353999999996	1.8883334999999999	France	IncFIB(AP001918)_1, AP001918, |IncFII(pRSB107)_1, AJ851089, 	IncF RST(F-:A-:B-):FIA(-);FIB(80?);FIC(5?);FII(~4);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)		Bacteria (2)	-6.839047	3.8277414
OY754374.1	2023-10-27	0.5046761978260585				76451	France		circular	46.603353999999996	1.8883334999999999	France	IncFII_1, AY458016, 	IncF RST(F76:A-:B-):FIA(-);FIB(-);FIC(5?);FII(76);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)		Bacteria (2)	-6.530024	3.8264544000000003
OY754372.1	2023-10-27	0.499888840558697				103455	France		circular	46.603353999999996	1.8883334999999999	France	IncFIB(AP001918)_1, AP001918, |IncFII_1, AY458016, 	IncF RST(F64:A-:B-):FIA(-);FIB(58?);FIC(5?);FII(64);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)		Bacteria (2)	-7.938142299999999	2.8432446
OY754366.1	2023-10-27	0.4649141802638145				106211	France		circular	46.603353999999996	1.8883334999999999	France	IncFIB(pLF82-PhagePlasmid)_1, CU638872, 	IncF RST(F-:A-:B-):FIA(-);FIB(-);FIC(-);FII(-);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)		Bacteria (2)	11.365944	-9.195725
OY754360.1	2023-10-27	0.511008517316512				131262	France		circular	46.603353999999996	1.8883334999999999	France	IncFIB(AP001918)_1, AP001918, |IncFII_1, AY458016, 	IncF RST(F24:A-:B-):FIA(-);FIB(58?);FIC(-);FII(24);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)		Bacteria (2)	-8.055147	2.8257368
OY754350.1	2023-10-27	0.507312298805705				176757	France		circular	46.603353999999996	1.8883334999999999	France	IncFIB(AP001918)_1, AP001918, |IncFIC(FII)_1, AP001918, |IncFIA_1, AP001918, 	IncF RST(--:A-:B-):FIA(5,6);FIB(58?);FIC(4);FII(18);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)		Bacteria (2)	-8.619530000000001	3.2764029999999997
NZ_OY019089.1	2023-06-22	0.5226093314390674	Homo sapiens		Urinary tract	168227	Armenia		linear	40.7696272	44.6736646	Armenia	IncFIB(AP001918)_1, AP001918, |Col156_1, NC_009781, |IncFII_1, AY458016, |IncFIC(FII)_1, AP001918, |IncFIA_1, AP001918, 	IncF RST(F-:A-:B-):FIA(4,20);FIB(58?);FIC(3?);FII(31,36);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli O25b:H4-ST131	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)	Escherichia_coli_O25b:H4-ST131 (941322)	Bacteria (2)	-7.8689485	4.6736655
NZ_OX637966.1	2023-05-31	0.5125444198038849	Homo sapiens		Urinary tract	74854	Armenia		linear	40.7696272	44.6736646	Armenia	IncFII_1, AY458016, 	IncF RST(F2:A-:B-):FIA(-);FIB(-);FIC(-);FII(2);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli O25b:H4-ST131	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)	Escherichia_coli_O25b:H4-ST131 (941322)	Bacteria (2)	-6.0742345	4.01746
NZ_OX637965.1	2023-05-31	0.5132404912133486	Homo sapiens		Urinary tract	123938	Armenia		linear	40.7696272	44.6736646	Armenia	IncFIB(AP001918)_1, AP001918, |Col156_1, NC_009781, |IncFII(pRSB107)_1, AJ851089, |IncFIA_1, AP001918, 	IncF RST(F1:A-:B-):FIA(1,6);FIB(16?);FIC(3?);FII(1);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli O25b:H4-ST131	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)	Escherichia_coli_O25b:H4-ST131 (941322)	Bacteria (2)	-6.568866000000001	5.661613
NZ_OX637963.1	2023-05-31	0.5231070897626493	Homo sapiens		Urinary tract	78028	Armenia		linear	40.7696272	44.6736646	Armenia	IncFII_1, AY458016, 	IncF RST(F2:A-:B-):FIA(-);FIB(-);FIC(-);FII(2);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli O25b:H4-ST131	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)	Escherichia_coli_O25b:H4-ST131 (941322)	Bacteria (2)	-6.4890885	4.4176254
NZ_OX637962.1	2023-05-31	0.5188641360205283	Homo sapiens		Urinary tract	146919	Armenia		linear	40.7696272	44.6736646	Armenia	IncFIB(AP001918)_1, AP001918, |Col156_1, NC_009781, |IncFII(pRSB107)_1, AJ851089, |IncFIA_1, AP001918, 	IncF RST(F1:A-:B-):FIA(2,6);FIB(20?);FIC(3?);FII(1);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli O25b:H4-ST131	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)	Escherichia_coli_O25b:H4-ST131 (941322)	Bacteria (2)	-6.7163553	5.7998650000000005
NZ_OX637960.1	2023-05-31	0.5196765300044824	Homo sapiens		Urinary tract	162859	Armenia		linear	40.7696272	44.6736646	Armenia	IncFIB(AP001918)_1, AP001918, |Col156_1, NC_009781, |IncFII_1, AY458016, |IncFIA_1, AP001918, 	IncF RST(F2:A-:B-):FIA(2,6);FIB(20?);FIC(-);FII(2);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli O25b:H4-ST131	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)	Escherichia_coli_O25b:H4-ST131 (941322)	Bacteria (2)	-6.6692919999999996	5.7637897
NZ_OX460340.1	2023-04-08	0.4950516782901008			Derived from parental isolate EC0880B in laboratory.	159448	United Kingdom		circular	54.70235450000001	-3.2765752999999997	United Kingdom	IncFIB(AP001918)_1, AP001918, |IncFII_1, AY458016, |IncFIA_1, AP001918, 	IncF RST(F24:A27:B-):FIA(27);FIB(58?);FIC(-);FII(24);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)		Bacteria (2)	-8.49848	2.4676707
NZ_OX460339.1	2023-04-08	0.5145168318988996			Derived from parental isolate EC0026B in laboratory.	73432	United Kingdom		circular	54.70235450000001	-3.2765752999999997	United Kingdom	IncFII(29)_1, CP003035, 	IncF RST(F77:A-:B-):FIA(-);FIB(-);FIC(5?);FII(77);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)		Bacteria (2)	-6.185423	4.1670556
NZ_OX460327.1	2023-04-08	0.5144981817686556			Derived from parental isolate EC0026B in laboratory.	73423	United Kingdom		circular	54.70235450000001	-3.2765752999999997	United Kingdom	IncFII(29)_1, CP003035, 	IncF RST(F77:A-:B-):FIA(-);FIB(-);FIC(5?);FII(77);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)		Bacteria (2)	-6.2075872	4.130376
NZ_OX442410.1	2023-03-14	0.5020710921014302				140747			circular				IncFIB(AP001918)_1, AP001918, |IncFIC(FII)_1, AP001918, 	IncF RST(--:A-:B1):FIA(-);FIB(1);FIC(4);FII(18);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)		Bacteria (2)	-8.312727	3.0721984
NZ_OX147905.1	2022-09-13	0.515352214155074				216516			circular				IncFII(Yp)_1, CP000670, |IncFII(pECLA)_1, CP001919, |IncFIB(pENTAS01)_1, CP003027, 	IncF RST(F-:A-:B-):FIA(-);FIB(-);FIC(-);FII(-);FIIK(-);FIIS(-);FIIY(3?)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)		Bacteria (2)	1.2418666	0.9869683000000001
NZ_OX030731.1	2022-06-02	0.5039436816337113	Homo sapiens		Hospital de Guadalajara (Guadalajara)	100287	Spain		circular	39.3262345	-4.838064900000001	Spain	IncFII_1, AY458016, 	IncF RST(F2:A-:B-):FIA(-);FIB(-);FIC(-);FII(2);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)		Bacteria (2)	-6.081676	3.9861758000000003
NZ_OX030729.1	2022-06-02	0.5131488878683638	Homo sapiens		Hospital de Guadalajara (Guadalajara)	115409	Spain		circular	39.3262345	-4.838064900000001	Spain	IncFIB(AP001918)_1, AP001918, |IncFII(pRSB107)_1, AJ851089, |IncFIA_1, AP001918, 	IncF RST(F1:A-:B-):FIA(1,6);FIB(20?);FIC(3?);FII(1);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)		Bacteria (2)	-6.9349737000000005	5.76772
NZ_OX030703.1	2022-06-02	0.5234857849196539	Homo sapiens		Hospital Universitario Central de Asturias (Oviedo)	88990	Spain		circular	39.3262345	-4.838064900000001	Spain	IncFIB(AP001918)_1, AP001918, |Col156_1, NC_009781, |IncFIA_1, AP001918, 	IncF RST(F-:A-:B-):FIA(2,6);FIB(20?);FIC(-);FII(-);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)		Bacteria (2)	-6.461766000000001	5.70591
NZ_OX030702.1	2022-06-02	0.5065405935574878	Homo sapiens		Hospital Universitario Central de Asturias (Oviedo)	90741	Spain		circular	39.3262345	-4.838064900000001	Spain	IncFII_1, AY458016, 	IncF RST(F2:A-:B-):FIA(-);FIB(-);FIC(-);FII(2);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)		Bacteria (2)	-5.951183	3.9875467
NZ_OW968292.1	2022-05-20	0.5203185063152114	Homo sapiens		Hospital de El Escorial (Madrid)	58272	Spain		circular	39.3262345	-4.838064900000001	Spain	IncFII(pCoo)_1, CR942285, 	IncF RST(F16:A-:B-):FIA(-);FIB(-);FIC(-);FII(16);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)		Bacteria (2)	-6.804988000000001	3.6300008000000004
NZ_OW968291.1	2022-05-20	0.5382949550865593	Homo sapiens		Hospital de El Escorial (Madrid)	78039	Spain		circular	39.3262345	-4.838064900000001	Spain	IncFII(Yp)_1, CP000670, 	IncF RST(F-:A-:B-):FIA(-);FIB(-);FIC(-);FII(-);FIIK(-);FIIS(-);FIIY(~9)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)		Bacteria (2)	1.7989876	2.1311077999999997
NZ_OW968289.1	2022-05-20	0.506472342649817	Homo sapiens		Hospital de El Escorial (Madrid)	130092	Spain		circular	39.3262345	-4.838064900000001	Spain	IncFIB(AP001918)_1, AP001918, |IncQ1_1, M28829, 	IncF RST(F-:A-:B-):FIA(-);FIB(58?);FIC(-);FII(-);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)		Bacteria (2)	-8.477205	3.1366080000000003
NZ_OW968278.1	2022-05-20	0.5234240748948347	Homo sapiens		Hospital Universitario Central de Asturias (Oviedo)	128607	Spain		circular	39.3262345	-4.838064900000001	Spain	IncFIB(AP001918)_1, AP001918, |IncFII_1, AY458016, |IncFIC(FII)_1, AP001918, |IncFIA_1, AP001918, 	IncF RST(F-:A-:B-):FIA(4,20);FIB(58?);FIC(3?);FII(31,36);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)		Bacteria (2)	-7.844906	4.606990000000001
NZ_OW968125.1	2022-05-20	0.5023306750533528	Homo sapiens		Hospital Universitario Mutua de Terrassa (Terrassa)	106836	Spain		circular	39.3262345	-4.838064900000001	Spain	IncFIB(AP001918)_1, AP001918, |IncFII(pSE11)_1, AP009242, 	IncF RST(F18:A-:B-):FIA(-);FIB(58?);FIC(5?);FII(18);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)		Bacteria (2)	-8.49558	3.143141
NZ_OW968112.1	2022-05-20	0.5040191572553739	Homo sapiens		Hospital Universitario La Paz (Madrid)	160357	Spain		circular	39.3262345	-4.838064900000001	Spain	IncFIB(AP001918)_1, AP001918, |IncQ1_1, M28829, |IncFIC(FII)_1, AP001918, 	IncF RST(--:A-:B-):FIA(-);FIB(58?);FIC(4);FII(18);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)		Bacteria (2)	-8.467116	3.1306083
NZ_OW968012.1	2022-05-19	0.5160215428726413	Homo sapiens		Hospital Universitario Ramon y Cajal (Madrid)	154854	Spain		circular	39.3262345	-4.838064900000001	Spain	IncFIB(AP001918)_1, AP001918, |IncQ1_1, M28829, |IncFII_1, AY458016, 	IncF RST(F2:A-:B-):FIA(-);FIB(58?);FIC(-);FII(2);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)		Bacteria (2)	-8.629367	2.584592
NZ_OW967976.1	2022-05-20	0.5023531283039699	Homo sapiens		Hospital Universitario Mutua de Terrassa (Terrassa)	106879	Spain		circular	39.3262345	-4.838064900000001	Spain	IncFIB(AP001918)_1, AP001918, |IncFII(pSE11)_1, AP009242, 	IncF RST(F18:A-:B-):FIA(-);FIB(58?);FIC(5?);FII(18);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)		Bacteria (2)	-8.5056925	3.1452997000000003
NZ_OW967967.1	2022-05-20	0.5155002457412576	Homo sapiens		Hospital Universitario Mutua de Terrassa (Terrassa)	107837	Spain		circular	39.3262345	-4.838064900000001	Spain	IncFIB(AP001918)_1, AP001918, |IncFII_1, AY458016, |IncFIA_1, AP001918, 	IncF RST(F2:A-:B-):FIA(1,6);FIB(49?);FIC(-);FII(2);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)		Bacteria (2)	-7.0723495	5.771708
NZ_OW967803.1	2022-05-19	0.5180782520232061	Homo sapiens		Hospital Clinic (Barcelona)	109109	Spain		circular	39.3262345	-4.838064900000001	Spain	IncFIB(AP001918)_1, AP001918, |IncQ1_1, M28829, |IncFII(pAMA1167-NDM-5)_1, CP024805, |IncFIA_1, AP001918, 	IncF RST(F1:A-:B-):FIA(1,6);FIB(49?);FIC(-);FII(1);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)		Bacteria (2)	-7.204104400000001	5.787881
NZ_OW967796.1	2022-05-19	0.4817942804117888	Homo sapiens		Hospital Universitario Ramon y Cajal (Madrid)	148717	Spain		circular	39.3262345	-4.838064900000001	Spain	IncFIB(AP001918)_1, AP001918, |IncFIC(FII)_1, AP001918, 	IncF RST(F89:A-:B-):FIA(-);FIB(62?);FIC(~6);FII(89);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)		Bacteria (2)	-8.275031	2.789644
NZ_OW967004.1	2022-05-19	0.5011796265089246	Homo sapiens		Hospital General de Alicante (Alicante)	145385	Spain		circular	39.3262345	-4.838064900000001	Spain	IncFIB(AP001918)_1, AP001918, |IncFII_1, AY458016, 	IncF RST(F2:A-:B-):FIA(-);FIB(58?);FIC(-);FII(2);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)		Bacteria (2)	-8.492206	2.6370172999999997
NZ_OW849379.1	2022-05-14	0.4569925994198812	Homo sapiens		Hospital Universitario Gregorio Maranon (Madrid)	110667	Spain		circular	39.3262345	-4.838064900000001	Spain	IncFIB(pLF82-PhagePlasmid)_1, CU638872, 	IncF RST(F-:A-:B-):FIA(-);FIB(-);FIC(-);FII(-);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)		Bacteria (2)	11.372202	-9.206858
NZ_OW849378.1	2022-05-14	0.5056463288521199	Homo sapiens		Hospital Universitario Gregorio Maranon (Madrid)	145050	Spain		circular	39.3262345	-4.838064900000001	Spain	IncFIB(AP001918)_1, AP001918, |IncFIC(FII)_1, AP001918, 	IncF RST(--:A-:B-):FIA(-);FIB(58?);FIC(4);FII(18);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)		Bacteria (2)	-8.478596000000001	3.1456091
